分类: 📺央视频道, 名称: CCTV-1, 有效: 6, IPv4: 53, IPv6: 0, 最小延迟: 58 ms, 最高速率: 13.57 M/s, 平均速率: 7.24 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 5, IPv4: 47, IPv6: 0, 最小延迟: 55 ms, 最高速率: 18.41 M/s, 平均速率: 16.51 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 6, IPv4: 47, IPv6: 0, 最小延迟: 56 ms, 最高速率: 18.85 M/s, 平均速率: 13.59 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 50, IPv6: 0, 最小延迟: 52 ms, 最高速率: 18.00 M/s, 平均速率: 14.68 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 43, IPv6: 0, 最小延迟: 138 ms, 最高速率: 9.40 M/s, 平均速率: 6.26 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 8, IPv4: 48, IPv6: 0, 最小延迟: 29 ms, 最高速率: 36.52 M/s, 平均速率: 21.70 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 6, IPv4: 47, IPv6: 0, 最小延迟: 188 ms, 最高速率: 12.46 M/s, 平均速率: 9.93 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 2, IPv4: 24, IPv6: 0, 最小延迟: 1096 ms, 最高速率: 1.02 M/s, 平均速率: 0.76 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 6, IPv4: 44, IPv6: 0, 最小延迟: 29 ms, 最高速率: 37.60 M/s, 平均速率: 14.24 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 43, IPv6: 0, 最小延迟: 60 ms, 最高速率: 17.26 M/s, 平均速率: 15.38 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 41, IPv6: 0, 最小延迟: 31 ms, 最高速率: 34.62 M/s, 平均速率: 26.26 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 39, IPv6: 0, 最小延迟: 56 ms, 最高速率: 17.50 M/s, 平均速率: 15.77 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 8, IPv4: 48, IPv6: 0, 最小延迟: 20 ms, 最高速率: 18.09 M/s, 平均速率: 8.90 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 5, IPv4: 38, IPv6: 0, 最小延迟: 62 ms, 最高速率: 16.62 M/s, 平均速率: 14.55 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 5, IPv4: 44, IPv6: 0, 最小延迟: 54 ms, 最高速率: 19.76 M/s, 平均速率: 13.73 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 有效: 5, IPv4: 17, IPv6: 0, 最小延迟: 56 ms, 最高速率: 18.03 M/s, 平均速率: 11.32 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 5, IPv4: 28, IPv6: 0, 最小延迟: 54 ms, 最高速率: 19.00 M/s, 平均速率: 14.90 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 5, IPv4: 37, IPv6: 0, 最小延迟: 59 ms, 最高速率: 17.85 M/s, 平均速率: 16.15 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-1, 有效: 2, IPv4: 16, IPv6: 0, 最小延迟: 57 ms, 最高速率: 18.92 M/s, 平均速率: 17.48 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-2, 有效: 2, IPv4: 9, IPv6: 0, 最小延迟: 30 ms, 最高速率: 33.02 M/s, 平均速率: 25.24 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-3, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 💰央视付费频道, 名称: 文化精品, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 571 ms, 最高速率: 7.71 M/s, 平均速率: 7.71 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 央视台球, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 900 ms, 最高速率: 4.35 M/s, 平均速率: 4.35 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-4, 有效: 0, IPv4: 9, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 💰央视付费频道, 名称: 风云音乐, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 671 ms, 最高速率: 10.91 M/s, 平均速率: 10.91 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 第一剧场, 有效: 1, IPv4: 15, IPv6: 0, 最小延迟: 464 ms, 最高速率: 9.68 M/s, 平均速率: 9.68 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 风云剧场, 有效: 1, IPv4: 5, IPv6: 0, 最小延迟: 446 ms, 最高速率: 10.72 M/s, 平均速率: 10.72 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 怀旧剧场, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 320 ms, 最高速率: 12.84 M/s, 平均速率: 12.84 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 女性时尚, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 511 ms, 最高速率: 10.31 M/s, 平均速率: 10.31 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 高尔夫网球, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 783 ms, 最高速率: 5.36 M/s, 平均速率: 5.36 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 风云足球, 有效: 1, IPv4: 4, IPv6: 0, 最小延迟: 452 ms, 最高速率: 8.45 M/s, 平均速率: 8.45 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 电视指南, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 2385 ms, 最高速率: 2.22 M/s, 平均速率: 2.22 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 世界地理, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 10210 ms, 最高速率: 0.19 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 8, IPv4: 36, IPv6: 0, 最小延迟: 63 ms, 最高速率: 16.20 M/s, 平均速率: 9.37 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 6, IPv4: 41, IPv6: 0, 最小延迟: 56 ms, 最高速率: 18.43 M/s, 平均速率: 9.97 M/s, 最高分辨率: 3840x2160
分类: 💰央视付费频道, 名称: 兵器科技, 有效: 1, IPv4: 5, IPv6: 0, 最小延迟: 374 ms, 最高速率: 12.33 M/s, 平均速率: 12.33 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广东卫视, 有效: 5, IPv4: 37, IPv6: 0, 最小延迟: 56 ms, 最高速率: 74.88 M/s, 平均速率: 24.23 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 北京卫视, 有效: 4, IPv4: 33, IPv6: 0, 最小延迟: 28 ms, 最高速率: 16.86 M/s, 平均速率: 7.88 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 4, IPv4: 33, IPv6: 0, 最小延迟: 60 ms, 最高速率: 17.68 M/s, 平均速率: 13.71 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 55 ms, 最高速率: 19.41 M/s, 平均速率: 14.02 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 50 ms, 最高速率: 19.44 M/s, 平均速率: 15.04 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东方卫视, 有效: 8, IPv4: 35, IPv6: 0, 最小延迟: 48 ms, 最高速率: 18.85 M/s, 平均速率: 9.41 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 23, IPv6: 0, 最小延迟: 52 ms, 最高速率: 18.44 M/s, 平均速率: 14.33 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 21, IPv6: 0, 最小延迟: 55 ms, 最高速率: 19.91 M/s, 平均速率: 16.43 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 3, IPv4: 31, IPv6: 0, 最小延迟: 57 ms, 最高速率: 18.36 M/s, 平均速率: 12.06 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 5, IPv4: 24, IPv6: 0, 最小延迟: 61 ms, 最高速率: 16.88 M/s, 平均速率: 16.49 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 有效: 5, IPv4: 24, IPv6: 0, 最小延迟: 54 ms, 最高速率: 18.77 M/s, 平均速率: 15.50 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河南卫视, 有效: 6, IPv4: 34, IPv6: 0, 最小延迟: 24 ms, 最高速率: 33.77 M/s, 平均速率: 18.44 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 有效: 4, IPv4: 31, IPv6: 0, 最小延迟: 62 ms, 最高速率: 17.71 M/s, 平均速率: 12.83 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 5, IPv4: 28, IPv6: 0, 最小延迟: 63 ms, 最高速率: 16.43 M/s, 平均速率: 14.89 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江西卫视, 有效: 5, IPv4: 33, IPv6: 0, 最小延迟: 62 ms, 最高速率: 17.39 M/s, 平均速率: 15.53 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 39, IPv6: 0, 最小延迟: 59 ms, 最高速率: 16.75 M/s, 平均速率: 13.78 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 56 ms, 最高速率: 17.52 M/s, 平均速率: 9.75 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 30, IPv6: 0, 最小延迟: 30 ms, 最高速率: 36.72 M/s, 平均速率: 19.04 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 4, IPv4: 26, IPv6: 0, 最小延迟: 62 ms, 最高速率: 16.21 M/s, 平均速率: 15.24 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 青海卫视, 有效: 5, IPv4: 21, IPv6: 0, 最小延迟: 55 ms, 最高速率: 19.00 M/s, 平均速率: 16.05 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 30, IPv6: 0, 最小延迟: 57 ms, 最高速率: 18.20 M/s, 平均速率: 16.99 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 4, IPv4: 21, IPv6: 0, 最小延迟: 57 ms, 最高速率: 17.59 M/s, 平均速率: 14.10 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山西卫视, 有效: 3, IPv4: 22, IPv6: 0, 最小延迟: 50 ms, 最高速率: 19.53 M/s, 平均速率: 18.51 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 37, IPv6: 0, 最小延迟: 54 ms, 最高速率: 19.02 M/s, 平均速率: 14.70 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 4, IPv4: 29, IPv6: 0, 最小延迟: 141 ms, 最高速率: 13.37 M/s, 平均速率: 11.09 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 5, IPv4: 9, IPv6: 0, 最小延迟: 75 ms, 最高速率: 16.34 M/s, 平均速率: 8.62 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 278 ms, 最高速率: 12.50 M/s, 平均速率: 9.32 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 天津卫视, 有效: 5, IPv4: 28, IPv6: 0, 最小延迟: 450 ms, 最高速率: 2.11 M/s, 平均速率: 1.54 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 4, IPv4: 27, IPv6: 0, 最小延迟: 43 ms, 最高速率: 27.40 M/s, 平均速率: 21.31 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 云南卫视, 有效: 5, IPv4: 28, IPv6: 0, 最小延迟: 51 ms, 最高速率: 17.94 M/s, 平均速率: 15.81 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 4, IPv4: 33, IPv6: 0, 最小延迟: 30 ms, 最高速率: 36.09 M/s, 平均速率: 33.91 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广东珠江, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 10629 ms, 最高速率: 0.01 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
